model,prompt,mean,std,count
claude45,large,0.5891393305224105,0.18684986304792003,60
claude45,original,0.5827915344811693,0.18100386915912992,60
gpt4o,large,0.660917538848531,0.19731136279739875,60
gpt4o,original,0.6479461834413207,0.21023986173596304,60
human,large,0.6787795662169078,0.13748013820407917,60
human,original,0.7737251621410373,0.18622773626716313,60
internvl3,large,0.560120198685763,0.19279777829561612,60
internvl3,original,0.6312490665209619,0.1823041551753182,60
llama4scout,large,0.6337801055832507,0.20772026594488974,60
llama4scout,original,0.7300553832349049,0.2338899224169199,60
qwen3vl,large,0.6227307912524014,0.17507375954538168,60
qwen3vl,original,0.7038179303981111,0.2037396654622369,60
