model,prompt,mcc_raw_mean,MCC_mean,MCC_std,observed_rows,total_rows,missing_policy,unit
claude45,large,0.5609424603174603,0.46628520530652096,0.2837883625936855,60,60,zero,story
claude45,original,0.5527502204585538,0.46133471972329027,0.27878076148750164,60,60,zero,story
gpt4o,large,0.6346746031746032,0.513767414077475,0.29403036767555424,60,60,zero,story
gpt4o,original,0.5835443121693121,0.4832154237462023,0.28242046225295786,60,60,zero,story
human,large,0.5181740152851264,0.43368849166592444,0.2526268749634142,60,60,zero,story
human,original,0.5194570105820105,0.43670915016232686,0.2842372065713339,60,60,zero,story
internvl3,large,0.501577380952381,0.42823263805822326,0.2729656876478653,60,60,zero,story
internvl3,original,0.5175941358024692,0.4372547030525814,0.2789746790673464,60,60,zero,story
llama4scout,large,0.2839742464325798,0.2446548889093981,0.2811374840357782,60,60,zero,story
llama4scout,original,0.11764991181657848,0.10125860378236587,0.22076271310318066,60,60,zero,story
qwen3vl,large,0.5831349206349207,0.4826219596894743,0.28577589737107734,60,60,zero,story
qwen3vl,original,0.5814788359788359,0.4832583119179923,0.2794318016555254,60,60,zero,story
