model,prompt,n_stories,ncs_arithmetic_mean,ncs_arithmetic_std,ncs_geometric_mean,ncs_geometric_std
claude45,large,60,0.4037391289151679,0.11965878350525638,0.25984300073450955,0.207778482675601
claude45,original,60,0.41241813376126824,0.11852675862495626,0.2725279904342529,0.2121757352548585
gpt4o,large,60,0.45615537171116033,0.11541235490517347,0.3193777740153366,0.20854508155998003
gpt4o,original,60,0.45515737680070856,0.11580132164739364,0.3170186678291221,0.20516404882546257
human,large,60,0.46662170339199455,0.11189888023092626,0.3645716669580818,0.20655796352099515
human,original,60,0.5000140033244285,0.14302372233456181,0.36380061040211575,0.2662185077233067
internvl3,large,60,0.40570934703859296,0.13454373988872073,0.2718079629326378,0.20528237472688637
internvl3,original,60,0.43262438880520704,0.12707398063359257,0.30461738191675203,0.20327050381984457
llama4scout,large,60,0.37805231708520926,0.1445698093229429,0.17151223363133142,0.23978517560114768
llama4scout,original,60,0.3221284813537928,0.0998672198941345,0.059709934444011244,0.15356063866329142
qwen3vl,large,60,0.41167384339051677,0.11058540192936597,0.27278258208569517,0.20276995822491312
qwen3vl,original,60,0.44825124468533534,0.11130742718043801,0.3161765614628472,0.21819530136729068
